,Rank,Batsman name,Ratings,Country,Matches_played,Runs,Average,Strike Rate,No.of fours,No.of Sixes,No.of Hundred
0,1,Rohit sharma,781,India,279,11516,49.21,92.0,1080,355,33
1,2,Virat Kohli,773,India,308,14557,58.46,93.66,1356,165,53
2,3,Daryl Mitchell,766,New Zealand,56,2338,53.14,93.86,185,63,7
3,4,Ibrahim Zadran,764,Afghanistan,39,1868,51.89,82.33,178,30,6
4,5,Shubhman Gill,723,India,58,2818,56.36,99.23,319,60,8
5,6,Babar Azam,722,Pakistan,140,6501,53.73,87.17,601,68,20
6,7,Harry Tector,708,Irealand,54,1992,46.33,83.28,155,66,5
7,8,Shai Hope,701,West Indies,148,6113,50.11,79.82,487,120,19
8,9,Charith Asalanka,690,Sri lanka,80,2659,42.89,90.91,222,63,5
9,10,Shreyas Iyer,688,India,73,1868,47.82,99.02,270,72,5
