,Rank,Name,Country,Ratings,Matches_played,Wickets,Average,Economy,Strike-Rate,5_Wickets,Top_spell
0,1,Rashid Khan,Afghanistan,710,117,210,19.65,4.21,28.04,6,7/18
1,2,Jofra Archer,England,670,36,65,24.38,7.98,29.15,1,6/40
2,3,Kuldeep Yadav,India,655,117,191,26.3,5.03,31.38,2,6/25
3,4,Maheesh Theekshana,Sri lanka,647,59,79,28.03,4.6,36.57,0,4/25
4,5,Keshav Maharaj,South Africa,646,56,73,31.12,4.73,39.52,1,5/33
5,6,Bernard Scholtz,Namibia,645,64,99,19.08,3.36,34.04,5,5/22
6,7,Mitchell Santner,New Zealand,636,124,133,35.47,4.82,44.17,2,5/50
7,8,Josh Hazlewood,Australia,628,96,142,27.66,4.73,35.06,3,6/52
8,9,Abrar Ahmed,Pakistan,624,14,28,20.79,4.44,28.07,0,4/27
9,10,Wanindu Hasaranga,Sri lanka,619,68,111,24.22,5.06,28.69,4,7/19
